productid,productskuid,New Product Name,Quantity,New_level1,New_level2,Valued_level2,New_level3,brandname,orig_score,aggr_score
100118217,10129958.0,ruchi spices curry powder sabji masala,100 g,,spices & masalas,spices & masalas,blended masalas,Ruchi,0.0,0.0
100016807,10019575.0,sahiba dal makhani masala,100 g,masala,spices & masalas,spices & masalas,blended spices,Sahiba brand,0.0,0.0
100016798,10019566.0,sahiba meat masala,100 g,masala,spices & masalas,spices & masalas,blended spices,Sahiba brand,0.0,0.0
100065639,10074921.0,satyam methi powder,100 g,,spices & masalas,spices & masalas,powdered spices,Satyam,0.0,0.0
100148620,10160361.0,shyam sambhar masala,100 g,masala,spices & masalas,spices & masalas,blended masalas,Shyam,0.0,0.0
100054084,10061873.0,simran aloo bhaji masala,50 gm,masala,spices & masalas,spices & masalas,powdered spices,Simran,0.0,0.0
100082766,10094626.0,snapin coarse pepper,,masala,spices & masalas,spices & masalas,black pepper powder,Snapin,0.0,0.0
100087129,10099512.0,swastik dhania powder,500 g,masala,spices & masalas,spices & masalas,powdered coriander,Swastik,0.0,0.0
100059375,10067848.0,thillaicumin powder,50 g PP,masala,spices & masalas,spices & masalas,powdered cumin,Thillais,0.0,0.0
100052193,10059872.0,too yumm multigrain grilled corn chips,60 g,snacks,,,chips,Too Yumm,0.0,0.0
100143904,10155645.0,uncle chips spicy treat potato chips,825 g,snacks,,,chips,Uncle Chipps,0.0,0.0
100066752,10076267.0,vegmart organic black pep,per 100 gm,masala,spices & masalas,spices & masalas,black pepper powder,Vegmart,0.0,0.0
100049353,10057051.0,yellow diamond tomato salsa nachos,25 g,snacks,snacks,snacks,nachos,Daymond,0.0,0.0
100034628,10041431.0,act ii movie theatre butter flavour popcorn,450 g,snacks,,,chips,Act II,0.0,0.0
100094948,10107553.0,act ii peri peri microwave popcorn,106 g,snacks,snacks,snacks,popcorns,ACT II,0.0,0.0
